ensembl_id	gene	UNEECON-G	pLI
ENSG00000003756	RBM5	0.556379	9.4027e-01
ENSG00000003987	MTMR7	0.136359	4.6653e-12
ENSG00000003989	SLC7A2	0.167774	9.5869e-09
ENSG00000004059	ARF5	0.671452	8.7412e-01
ENSG00000004399	PLXND1	0.317004	6.8800e-01
ENSG00000004455	AK2	0.175821	1.1316e-03
ENSG00000004468	CD38	0.087795	4.6994e-03
ENSG00000004478	FKBP4	0.256860	1.4516e-02
ENSG00000004487	KDM1A	0.583654	9.9900e-01
ENSG00000004534	RBM6	0.269038	9.9948e-01
ENSG00000004660	CAMKK1	0.314149	4.2306e-03
ENSG00000004700	RECQL	0.047558	2.4278e-02
ENSG00000004776	HSPB6	0.116735	9.2015e-02
ENSG00000004777	ARHGAP33	0.280764	5.2088e-01
ENSG00000004779	NDUFAB1	0.201817	5.3128e-01
ENSG00000004799	PDK4	0.114685	5.6394e-12
ENSG00000004809	SLC22A16	0.033037	8.1030e-13
ENSG00000004838	ZMYND10	0.182734	1.3580e-03
ENSG00000004846	ABCB5	0.022121	1.7324e-04
ENSG00000004848	ARX	0.412902	9.1019e-01
ENSG00000004864	SLC25A13	0.168425	2.9394e-16
ENSG00000004866	ST7	0.456450	9.7263e-01
ENSG00000004897	CDC27	0.381108	9.8163e-01
ENSG00000004939	SLC4A1	0.267995	7.9885e-01
ENSG00000004948	CALCR	0.096759	2.4020e-05
ENSG00000004961	HCCS	0.431439	8.9774e-01
ENSG00000004975	DVL2	0.168567	1.6556e-02
ENSG00000005001	PRSS22	0.224085	1.2666e-02
ENSG00000005007	UPF1	0.579659	1.0000e+00
ENSG00000005020	SKAP2	0.263237	2.1602e-03
ENSG00000005022	SLC25A5	0.658826	9.1410e-01
ENSG00000005073	HOXA11	0.250274	1.2945e-01
ENSG00000005075	POLR2J	0.251737	3.6806e-03
ENSG00000005100	DHX33	0.157958	5.9322e-07
ENSG00000005102	MEOX1	0.044322	2.0662e-06
ENSG00000005108	THSD7A	0.172706	1.0000e+00
ENSG00000005156	LIG3	0.196633	9.2719e-02
ENSG00000005175	RPAP3	0.103355	3.2165e-05
ENSG00000005187	ACSM3	0.062961	2.5992e-03
ENSG00000005194	CIAPIN1	0.206974	9.2982e-03
ENSG00000005238	FAM214B	0.264903	7.6847e-01
ENSG00000005249	PRKAR2B	0.429273	9.9923e-01
ENSG00000005339	CREBBP	0.582242	9.8881e-01
ENSG00000005381	MPO	0.144362	1.5512e-02
ENSG00000005421	PON1	0.146044	1.1575e-08
ENSG00000005436	GCFC2	0.098353	1.7456e-06
ENSG00000005448	WDR54	0.131253	1.6668e-06
ENSG00000005469	CROT	0.029486	3.0962e-21
ENSG00000005471	ABCB4	0.266654	2.2412e-06
ENSG00000005483	KMT2E	0.279828	9.6131e-01
ENSG00000005486	RHBDD2	0.128629	2.4997e-01
ENSG00000005513	SOX8	0.084098	6.6984e-01
ENSG00000005700	IBTK	0.314076	7.9531e-03
ENSG00000005801	ZNF195	0.208227	3.9720e-01
ENSG00000005812	FBXL3	0.559173	8.6743e-01
ENSG00000005844	ITGAL	0.222924	4.2745e-01
ENSG00000005882	PDK2	0.237149	7.4601e-01
ENSG00000005884	ITGA3	0.251824	4.6456e-02
ENSG00000005889	ZFX	0.576473	9.9523e-01
ENSG00000005893	LAMP2	0.227146	2.1890e-01
ENSG00000005955	GGNBP2	0.498884	9.1102e-01
ENSG00000005961	ITGA2B	0.179187	3.9055e-01
ENSG00000005981	ASB4	0.042242	8.8610e-05
ENSG00000006007	GDE1	0.134203	8.8950e-06
ENSG00000006016	CRLF1	0.115963	1.8548e-03
ENSG00000006025	OSBPL7	0.352223	1.6094e-03
ENSG00000006042	TMEM98	0.167992	4.5285e-04
ENSG00000006047	YBX2	0.382809	9.8624e-01
ENSG00000006059	KRT33A	0.068372	2.2351e-17
ENSG00000006071	ABCC8	0.295757	1.3137e-03
ENSG00000006074	CCL18	0.058471	8.8681e-03
ENSG00000006075	CCL3	0.054227	3.6096e-01
ENSG00000006114	SYNRG	0.199070	9.6523e-01
ENSG00000006116	CACNG3	0.544109	9.9062e-01
ENSG00000006118	TMEM132A	0.041363	4.5182e-01
ENSG00000006125	AP2B1	0.651291	3.2366e-02
ENSG00000006128	TAC1	0.229780	6.5290e-01
ENSG00000006194	ZNF263	0.263454	2.5859e-03
ENSG00000006210	CX3CL1	0.120180	7.8060e-01
ENSG00000006282	SPATA20	0.070759	3.6109e-07
ENSG00000006283	CACNA1G	0.456130	8.9857e-01
ENSG00000006327	TNFRSF12A	0.083771	6.7877e-02
ENSG00000006377	DLX6	0.382598	8.4293e-01
ENSG00000006432	MAP3K9	0.185109	2.1619e-01
ENSG00000006451	RALA	0.699495	6.7350e-01
ENSG00000006453	BAIAP2L1	0.155567	6.9886e-05
ENSG00000006468	ETV1	0.290282	9.2427e-02
ENSG00000006530	AGK	0.071054	2.7899e-07
ENSG00000006555	TTC22	0.036961	4.1639e-03
ENSG00000006576	PHTF2	0.371245	3.2950e-01
ENSG00000006606	CCL26	0.024033	9.8534e-03
ENSG00000006607	FARP2	0.035950	9.9032e-22
ENSG00000006611	USH1C	0.051830	1.3399e-10
ENSG00000006625	GGCT	0.068189	6.2782e-04
ENSG00000006634	DBF4	0.193703	9.9396e-01
ENSG00000006638	TBXA2R	0.109952	5.2469e-02
ENSG00000006652	IFRD1	0.251206	1.2982e-02
ENSG00000006659	LGALS14	0.031913	6.4302e-03
ENSG00000006695	COX10	0.149824	1.5669e-01
ENSG00000006704	GTF2IRD1	0.280501	8.1116e-01
ENSG00000006712	PAF1	0.458489	2.6493e-05
ENSG00000006715	VPS41	0.205223	7.4559e-02
ENSG00000006740	ARHGAP44	0.322433	2.6933e-01
ENSG00000006744	ELAC2	0.127249	2.3480e-03
ENSG00000006747	SCIN	0.056941	5.5247e-04
ENSG00000006756	ARSD	0.177965	2.9402e-03
ENSG00000006757	PNPLA4	0.055341	3.8478e-02
ENSG00000006788	MYH13	0.043485	5.1626e-40
ENSG00000006831	ADIPOR2	0.527363	3.7689e-01
ENSG00000006837	CDKL3	0.055890	1.1522e-06
ENSG00000007001	UPP2	0.074664	1.3434e-03
ENSG00000007038	PRSS21	0.085359	9.4582e-08
ENSG00000007047	MARK4	0.477643	8.2313e-01
ENSG00000007062	PROM1	0.024458	5.9698e-15
ENSG00000007080	CCDC124	0.135580	2.8402e-01
ENSG00000007129	CEACAM21	0.032078	1.8373e-04
ENSG00000007168	PAFAH1B1	0.656821	8.9661e-01
ENSG00000007171	NOS2	0.269327	1.4648e-14
ENSG00000007174	DNAH9	0.098901	2.5755e-15
ENSG00000007202	KIAA0100	0.228856	2.5017e-02
ENSG00000007216	SLC13A2	0.102368	6.9994e-12
ENSG00000007237	GAS7	0.437570	9.0075e-01
ENSG00000007255	TRAPPC6A	0.083660	2.7141e-03
ENSG00000007306	CEACAM7	0.038844	2.2077e-04
ENSG00000007312	CD79B	0.512091	8.9873e-01
ENSG00000007314	SCN4A	0.281241	6.3168e-01
ENSG00000007341	ST7L	0.040184	7.3275e-09
ENSG00000007350	TKTL1	0.191789	2.6109e-01
ENSG00000007376	RPUSD1	0.045584	9.9662e-04
ENSG00000007384	RHBDF1	0.243242	2.6585e-10
ENSG00000007392	LUC7L	0.540691	6.1166e-01
ENSG00000007402	CACNA2D2	0.344439	9.9997e-01
ENSG00000007516	BAIAP3	0.049465	1.2798e-25
ENSG00000007520	TSR3	0.067635	1.0915e-03
ENSG00000007541	PIGQ	0.072751	1.8013e-01
ENSG00000007866	TEAD3	0.450787	3.6673e-01
ENSG00000007923	DNAJC11	0.399366	9.9982e-01
ENSG00000007933	FMO3	0.052383	3.8504e-15
ENSG00000007944	MYLIP	0.290278	1.5264e-01
ENSG00000007952	NOX1	0.043211	8.7782e-04
ENSG00000007968	E2F2	0.145464	2.1225e-01
ENSG00000008018	PSMB1	0.308495	9.6974e-01
ENSG00000008056	SYN1	0.404098	9.8728e-01
ENSG00000008083	JARID2	0.329331	9.9985e-01
ENSG00000008086	CDKL5	0.550563	9.9892e-01
ENSG00000008118	CAMK1G	0.338366	4.7563e-03
ENSG00000008128	CDK11A	0.050022	9.4534e-04
ENSG00000008130	NADK	0.286834	9.3381e-02
ENSG00000008196	TFAP2B	0.403031	9.9143e-01
ENSG00000008197	TFAP2D	0.223281	9.9344e-01
ENSG00000008226	DLEC1	0.037522	8.8600e-35
ENSG00000008256	CYTH3	0.617133	1.7591e-01
ENSG00000008277	ADAM22	0.340635	5.4866e-01
ENSG00000008282	SYPL1	0.110415	9.5869e-02
ENSG00000008283	CYB561	0.193529	4.3913e-01
ENSG00000008294	SPAG9	0.334105	9.8234e-01
ENSG00000008300	CELSR3	0.317472	9.9984e-01
ENSG00000008311	AASS	0.188800	2.5265e-12
ENSG00000008323	PLEKHG6	0.058297	1.3218e-15
ENSG00000008324	SS18L2	0.109783	1.5872e-02
ENSG00000008382	MPND	0.106968	5.3313e-01
ENSG00000008394	MGST1	0.077647	1.0486e-02
ENSG00000008405	CRY1	0.303883	1.9103e-01
ENSG00000008438	PGLYRP1	0.095780	1.5882e-05
ENSG00000008441	NFIX	0.679352	9.9934e-01
ENSG00000008513	ST3GAL1	0.194660	2.9274e-01
ENSG00000008516	MMP25	0.040397	2.3899e-12
ENSG00000008517	IL32	0.027856	2.2680e-09
ENSG00000008710	PKD1	0.097431	9.7287e-01
ENSG00000008838	MED24	0.277208	4.1388e-01
ENSG00000008853	RHOBTB2	0.407671	8.3937e-02
ENSG00000008869	HEATR5B	0.348984	3.2544e-02
ENSG00000008952	SEC62	0.269962	9.8830e-01
ENSG00000008988	RPS20	0.343805	4.9467e-02
ENSG00000009307	CSDE1	0.448738	9.9999e-01
ENSG00000009335	UBE3C	0.389313	4.6714e-01
ENSG00000009413	REV3L	0.261281	1.0000e+00
ENSG00000009694	TENM1	0.365352	1.0000e+00
ENSG00000009709	PAX7	0.224699	1.5251e-02
ENSG00000009724	MASP2	0.037991	1.0513e-05
ENSG00000009765	IYD	0.143413	1.8119e-03
ENSG00000009780	FAM76A	0.288476	1.1684e-02
ENSG00000009790	TRAF3IP3	0.057092	5.3509e-02
ENSG00000009830	POMT2	0.152394	4.0117e-01
ENSG00000009844	VTA1	0.115936	2.0995e-03
ENSG00000009950	MLXIPL	0.169098	5.7429e-03
ENSG00000009954	BAZ1B	0.456557	1.0000e+00
ENSG00000010017	RANBP9	0.243093	9.9998e-01
ENSG00000010030	ETV7	0.078489	2.5312e-06
ENSG00000010072	SPRTN	0.196421	9.0763e-01
ENSG00000010219	DYRK4	0.033228	2.8180e-06
ENSG00000010244	ZNF207	0.414392	4.3946e-02
ENSG00000010256	UQCRC1	0.123648	1.0998e-02
ENSG00000010270	STARD3NL	0.310237	5.6027e-03
ENSG00000010278	CD9	0.176967	2.8700e-03
ENSG00000010282	HHATL	0.067722	7.7101e-05
ENSG00000010292	NCAPD2	0.133974	1.4898e-11
ENSG00000010295	IFFO1	0.239146	6.8247e-05
ENSG00000010318	PHF7	0.197843	4.4692e-04
ENSG00000010319	SEMA3G	0.056128	2.0126e-04
ENSG00000010322	NISCH	0.311473	9.7098e-01
ENSG00000010327	STAB1	0.162911	2.7568e-04
ENSG00000010361	FUZ	0.104359	4.6099e-05
ENSG00000010379	SLC6A13	0.070197	1.6924e-03
ENSG00000010404	IDS	0.385907	9.4354e-01
ENSG00000010438	PRSS3	0.067828	9.2571e-06
ENSG00000010539	ZNF200	0.049160	1.8174e-06
ENSG00000010610	CD4	0.164442	7.1803e-03
ENSG00000010626	LRRC23	0.080214	1.6187e-08
ENSG00000010671	BTK	0.752349	9.9950e-01
ENSG00000010704	HFE	0.151016	6.9178e-07
ENSG00000010803	SCMH1	0.357968	1.1055e-02
ENSG00000010810	FYN	0.663555	9.6503e-01
ENSG00000010818	HIVEP2	0.294691	1.0000e+00
ENSG00000010932	FMO1	0.084357	1.0103e-04
ENSG00000011009	LYPLA2	0.404272	5.0432e-01
ENSG00000011021	CLCN6	0.211623	3.5083e-01
ENSG00000011028	MRC2	0.241058	1.6321e-01
ENSG00000011083	SLC6A7	0.081652	4.0041e-10
ENSG00000011105	TSPAN9	0.309722	6.9046e-01
ENSG00000011114	BTBD7	0.184445	9.6432e-01
ENSG00000011132	APBA3	0.107412	1.6500e-12
ENSG00000011143	MKS1	0.153246	1.6321e-05
ENSG00000011198	ABHD5	0.260344	4.7212e-07
ENSG00000011243	AKAP8L	0.210551	3.1155e-01
ENSG00000011258	MBTD1	0.549244	1.0000e+00
ENSG00000011260	UTP18	0.087481	8.0635e-02
ENSG00000011275	RNF216	0.191979	1.4249e-05
ENSG00000011295	TTC19	0.080452	1.7983e-01
ENSG00000011304	PTBP1	0.464019	9.7060e-01
ENSG00000011332	DPF1	0.392328	6.4901e-01
ENSG00000011347	SYT7	0.374461	5.9919e-01
ENSG00000011376	LARS2	0.148191	2.8261e-06
ENSG00000011405	PIK3C2A	0.173508	3.2520e-01
ENSG00000011422	PLAUR	0.068535	6.8032e-01
ENSG00000011426	ANLN	0.074755	8.8513e-01
ENSG00000011451	WIZ	0.371147	9.9889e-01
ENSG00000011454	RABGAP1	0.375859	6.4674e-01
ENSG00000011465	DCN	0.285892	2.3191e-01
ENSG00000011478	QPCTL	0.098979	1.2590e-06
ENSG00000011485	PPP5C	0.474433	9.9527e-01
ENSG00000011523	CEP68	0.052738	2.3858e-01
ENSG00000011566	MAP4K3	0.359356	8.5829e-01
ENSG00000011590	ZBTB32	0.179135	2.2134e-01
ENSG00000011600	TYROBP	0.134063	5.2139e-01
ENSG00000011638	TMEM159	0.070783	2.5031e-03
ENSG00000011677	GABRA3	0.527227	3.6229e-01
ENSG00000012048	BRCA1	0.114114	4.3758e-03
ENSG00000012061	ERCC1	0.208587	1.1180e-02
ENSG00000012124	CD22	0.156868	5.4024e-01
ENSG00000012174	MBTPS2	0.485576	9.9797e-01
ENSG00000012211	PRICKLE3	0.059754	3.9115e-01
ENSG00000012223	LTF	0.050519	5.1592e-22
ENSG00000012232	EXTL3	0.397323	5.7028e-04
ENSG00000012504	NR1H4	0.325683	1.2509e-03
ENSG00000012660	ELOVL5	0.327257	9.9139e-01
ENSG00000012779	ALOX5	0.159665	2.6246e-06
ENSG00000012817	KDM5D	0.162808	9.4352e-01
ENSG00000012822	CALCOCO1	0.156605	4.7172e-01
ENSG00000012963	UBR7	0.278188	2.0814e-01
ENSG00000013016	EHD3	0.413603	8.6175e-01
ENSG00000013275	PSMC4	0.656790	2.0724e-01
ENSG00000013288	MAN2B2	0.034219	3.6872e-18
ENSG00000013293	SLC7A14	0.111471	1.5952e-02
ENSG00000013297	CLDN11	0.428073	2.6536e-01
ENSG00000013306	SLC25A39	0.094863	3.4753e-04
ENSG00000013364	MVP	0.178719	3.5387e-01
ENSG00000013374	NUB1	0.149640	3.3207e-04
ENSG00000013392	RWDD2A	0.173163	4.1019e-04
ENSG00000013441	CLK1	0.154504	6.0410e-07
ENSG00000013503	POLR3B	0.466072	9.3786e-04
ENSG00000013523	ANGEL1	0.148326	1.8320e-04
ENSG00000013561	RNF14	0.249125	6.3223e-03
ENSG00000013563	DNASE1L1	0.129961	1.9687e-01
ENSG00000013573	DDX11	0.074436	1.0102e-19
ENSG00000013583	HEBP1	0.084681	3.9524e-04
ENSG00000013588	GPRC5A	0.076339	1.9463e-02
ENSG00000013619	MAMLD1	0.176655	9.4173e-01
ENSG00000013725	CD6	0.166629	2.2290e-02
ENSG00000013810	TACC3	0.051294	1.4077e-02
ENSG00000014123	UFL1	0.065961	3.0640e-12
ENSG00000014138	POLA2	0.122420	6.0122e-04
ENSG00000014164	ZC3H3	0.123414	4.0318e-01
ENSG00000014216	CAPN1	0.126339	2.1465e-04
ENSG00000014257	ACPP	0.044831	1.2499e-04
ENSG00000014641	MDH1	0.251650	6.8180e-01
ENSG00000014824	SLC30A9	0.230614	1.0663e-05
ENSG00000014914	MTMR11	0.100635	1.9031e-22
ENSG00000014919	COX15	0.106879	1.4383e-13
ENSG00000015133	CCDC88C	0.093406	1.7919e-02
ENSG00000015153	YAF2	0.282939	7.0506e-01
ENSG00000015171	ZMYND11	0.643857	9.9999e-01
ENSG00000015285	WAS	0.423563	9.7299e-01
ENSG00000015413	DPEP1	0.122902	2.6842e-03
ENSG00000015475	BID	0.063195	3.2279e-06
ENSG00000015479	MATR3	0.415389	9.9786e-01
ENSG00000015520	NPC1L1	0.120927	7.8564e-18
ENSG00000015532	XYLT2	0.299904	8.9191e-02
ENSG00000015592	STMN4	0.397792	5.5200e-02
ENSG00000015676	NUDCD3	0.190221	4.3616e-01
ENSG00000016082	ISL1	0.539842	5.7528e-01
ENSG00000016391	CHDH	0.085019	2.6778e-04
ENSG00000016402	IL20RA	0.082192	2.2531e-02
ENSG00000016490	CLCA1	0.140044	4.0899e-09
ENSG00000016602	CLCA4	0.065948	1.8681e-15
ENSG00000016864	GLT8D1	0.135030	3.0287e-02
ENSG00000017260	ATP2C1	0.380215	9.9996e-01
ENSG00000017373	SRCIN1	0.217920	8.2913e-01
ENSG00000017427	IGF1	0.412983	1.2460e-02
ENSG00000017483	SLC38A5	0.536165	9.5338e-01
ENSG00000017621	MAGIX	0.033655	1.5460e-03
ENSG00000017797	RALBP1	0.339373	8.9991e-02
ENSG00000018189	RUFY3	0.324556	9.9897e-01
ENSG00000018236	CNTN1	0.338712	3.2173e-01
ENSG00000018280	SLC11A1	0.048772	1.8980e-10
ENSG00000018408	WWTR1	0.211702	7.0741e-01
ENSG00000018510	AGPS	0.534587	9.3565e-01
ENSG00000018610	CXorf56	0.676726	9.1573e-01
ENSG00000018625	ATP1A2	0.578766	9.2572e-04
ENSG00000018699	TTC27	0.050686	5.1806e-04
ENSG00000018869	ZNF582	0.040617	1.4770e-03
ENSG00000019102	VSIG2	0.042454	2.5888e-04
ENSG00000019144	PHLDB1	0.165451	2.0414e-01
ENSG00000019169	MARCO	0.111612	1.8599e-17
ENSG00000019186	CYP24A1	0.037759	1.7301e-21
ENSG00000019485	PRDM11	0.171377	1.8100e-01
ENSG00000019505	SYT13	0.093107	9.1689e-01
ENSG00000019549	SNAI2	0.456826	8.1009e-01
ENSG00000019582	CD74	0.233332	2.7027e-01
ENSG00000019991	HGF	0.259080	9.9766e-01
ENSG00000019995	ZRANB1	0.437158	9.9889e-01
ENSG00000020129	NCDN	0.533457	8.6760e-01
ENSG00000020256	ZFP64	0.264471	7.9665e-01
ENSG00000020426	MNAT1	0.156791	6.2342e-07
ENSG00000020577	SAMD4A	0.365740	9.8987e-01
ENSG00000020633	RUNX3	0.445323	8.8861e-01
ENSG00000021300	PLEKHB1	0.107912	2.2640e-02
ENSG00000021355	SERPINB1	0.208450	9.7959e-04
ENSG00000021461	CYP3A43	0.051781	9.7121e-02
ENSG00000021488	SLC7A9	0.196419	9.7918e-10
ENSG00000021574	SPAST	0.427471	9.9896e-01
ENSG00000021645	NRXN3	0.413409	9.9733e-01
ENSG00000021762	OSBPL5	0.080696	2.0240e-03
ENSG00000021776	AQR	0.433835	7.0013e-01
ENSG00000021826	CPS1	0.256625	8.8781e-01
ENSG00000021852	C8B	0.132041	5.6173e-17
ENSG00000022267	FHL1	0.313725	9.2485e-01
ENSG00000022355	GABRA1	0.678718	7.5441e-01
ENSG00000022556	NLRP2	0.079993	6.9612e-09
ENSG00000022567	SLC45A4	0.194022	5.8734e-01
ENSG00000022840	RNF10	0.211919	6.5655e-01
ENSG00000022976	ZNF839	0.122457	1.6809e-04
ENSG00000023041	ZDHHC6	0.050279	1.3390e-05
ENSG00000023171	GRAMD1B	0.513079	9.9880e-01
ENSG00000023191	RNH1	0.124992	2.6279e-09
ENSG00000023228	NDUFS1	0.116415	8.3883e-10
ENSG00000023287	RB1CC1	0.289888	1.0000e+00
ENSG00000023318	ERP44	0.414696	9.9118e-01
ENSG00000023330	ALAS1	0.195592	7.4945e-01
ENSG00000023445	BIRC3	0.260315	6.0335e-02
ENSG00000023516	AKAP11	0.074020	9.8751e-01
ENSG00000023572	GLRX2	0.083093	8.4905e-04
ENSG00000023608	SNAPC1	0.063544	1.8980e-15
ENSG00000023697	DERA	0.052514	4.5626e-02
ENSG00000023734	STRAP	0.312262	7.9127e-01
ENSG00000023839	ABCC2	0.050589	7.4967e-47
ENSG00000023892	DEF6	0.458719	9.7418e-01
ENSG00000023902	PLEKHO1	0.145706	9.9867e-02
ENSG00000023909	GCLM	0.295306	9.9037e-01
ENSG00000024048	UBR2	0.235649	9.8462e-01
ENSG00000024422	EHD2	0.294485	3.3519e-01
ENSG00000024526	DEPDC1	0.069377	4.6019e-01
ENSG00000024862	CCDC28A	0.093196	2.7277e-09
ENSG00000025039	RRAGD	0.445502	9.6004e-01
ENSG00000025156	HSF2	0.362364	9.3579e-01
ENSG00000025293	PHF20	0.274830	2.7731e-01
ENSG00000025423	HSD17B6	0.080560	3.1692e-02
ENSG00000025434	NR1H3	0.247875	2.0578e-01
ENSG00000025708	TYMP	0.060193	1.9494e-04
ENSG00000025770	NCAPH2	0.155237	3.5542e-02
ENSG00000025772	TOMM34	0.258491	1.6392e-02
ENSG00000025796	SEC63	0.371311	5.2082e-03
ENSG00000025800	KPNA6	0.513842	9.9940e-01
ENSG00000026025	VIM	0.369002	7.8494e-01
ENSG00000026103	FAS	0.323350	7.1352e-01
ENSG00000026297	RNASET2	0.149425	2.1451e-04
ENSG00000026508	CD44	0.142766	2.3483e-03
ENSG00000026559	KCNG1	0.541585	3.7052e-01
ENSG00000026652	AGPAT4	0.367682	6.8914e-02
ENSG00000026751	SLAMF7	0.200681	2.0749e-02
ENSG00000026950	BTN3A1	0.080872	1.0260e-01
ENSG00000027001	MIPEP	0.067356	1.2831e-01
ENSG00000027075	PRKCH	0.306299	6.8079e-01
ENSG00000027644	INSRR	0.056968	1.4098e-24
ENSG00000027697	IFNGR1	0.153460	3.1114e-01
ENSG00000027847	B4GALT7	0.064836	4.7412e-01
ENSG00000027869	SH2D2A	0.068698	4.6362e-06
ENSG00000028116	VRK2	0.042579	1.0163e-11
ENSG00000028137	TNFRSF1B	0.139258	7.6048e-01
ENSG00000028203	VEZT	0.108614	3.6048e-01
ENSG00000028277	POU2F2	0.318346	7.3685e-01
ENSG00000028310	BRD9	0.159379	1.9672e-02
ENSG00000028528	SNX1	0.213956	3.7264e-01
ENSG00000028839	TBPL1	0.627194	3.3300e-01
ENSG00000029153	ARNTL2	0.059865	9.7359e-09
ENSG00000029363	BCLAF1	0.038140	6.6003e-01
ENSG00000029364	SLC39A9	0.360844	5.6609e-01
ENSG00000029534	ANK1	0.308655	1.5071e-03
ENSG00000029559	IBSP	0.045831	1.0835e-11
ENSG00000029639	TFB1M	0.146198	9.9713e-10
ENSG00000029725	RABEP1	0.325016	4.7005e-01
ENSG00000029993	HMGB3	0.510584	7.8647e-01
ENSG00000030066	NUP160	0.131397	7.7027e-04
ENSG00000030110	BAK1	0.157806	6.7592e-07
ENSG00000030304	MUSK	0.206742	1.0063e-06
ENSG00000030419	IKZF2	0.282443	9.8885e-01
ENSG00000030582	GRN	0.108756	8.4867e-01
ENSG00000031003	FAM13B	0.175648	8.5379e-01
ENSG00000031081	ARHGAP31	0.235872	5.4848e-01
ENSG00000031691	CENPQ	0.049298	4.5026e-06
ENSG00000031698	SARS	0.509825	9.9946e-01
ENSG00000031823	RANBP3	0.295022	8.8721e-01
ENSG00000032219	ARID4A	0.292050	9.7584e-01
ENSG00000032444	PNPLA6	0.417960	4.7005e-03
ENSG00000032742	IFT88	0.086576	1.6460e-11
ENSG00000033011	ALG1	0.149525	6.3510e-04
ENSG00000033050	ABCF2	0.306969	1.5404e-01
ENSG00000033100	CHPF2	0.075010	1.9893e-21
ENSG00000033122	LRRC7	0.334214	9.9862e-01
ENSG00000033170	FUT8	0.431391	4.6433e-01
ENSG00000033178	UBA6	0.195649	1.5621e-03
ENSG00000033327	GAB2	0.110005	6.5500e-01
ENSG00000033627	ATP6V0A1	0.497505	6.9323e-01
ENSG00000033800	PIAS1	0.465586	9.9999e-01
ENSG00000033867	SLC4A7	0.276501	9.9714e-01
ENSG00000034053	APBA2	0.368429	7.8708e-01
ENSG00000034152	MAP2K3	0.464356	4.7908e-01
ENSG00000034239	EFCAB1	0.062201	4.9234e-04
ENSG00000034510	TMSB10	0.340283	1.6709e-02
ENSG00000034533	ASTE1	0.137627	5.7517e-10
ENSG00000034693	PEX3	0.257590	4.8502e-02
ENSG00000034713	GABARAPL2	0.463284	6.1744e-03
ENSG00000034971	MYOC	0.161813	9.4510e-12
ENSG00000035115	SH3YL1	0.085332	4.2783e-01
ENSG00000035141	FAM136A	0.093738	3.0379e-04
ENSG00000035403	VCL	0.426751	7.5419e-01
ENSG00000035499	DEPDC1B	0.170521	8.8073e-09
ENSG00000035664	DAPK2	0.103250	9.1307e-04
ENSG00000035681	NSMAF	0.131622	9.0567e-12
ENSG00000035687	ADSS	0.367668	3.6264e-01
ENSG00000035720	STAP1	0.082843	2.0009e-05
ENSG00000035862	TIMP2	0.440656	6.0277e-01
ENSG00000035928	RFC1	0.200171	5.7106e-01
ENSG00000036054	TBC1D23	0.241913	7.9273e-01
ENSG00000036257	CUL3	0.601751	5.5204e-01
ENSG00000036448	MYOM2	0.023225	3.8465e-50
ENSG00000036473	OTC	0.390793	8.8873e-01
ENSG00000036530	CYP46A1	0.335412	9.4664e-01
ENSG00000036549	ZZZ3	0.230791	4.5938e-01
ENSG00000036565	SLC18A1	0.031007	9.4144e-07
