ensembl_id	gene	UNEECON-G	pLI	mis-z	RVIS	GDI	disease_or_essential_gene
ENSG00000007952	NOX1	0.043211	0.00087782	-0.075523	-1.038919325	-232.74962	FALSE
ENSG00000008083	JARID2	0.329331	0.99985	2.6771	2.395914273	-264.05908	TRUE
ENSG00000008130	NADK	0.286834	0.093381	0.87033	-0.108487531	-176.4511	FALSE
ENSG00000008196	TFAP2B	0.403031	0.99143	1.5061	0.68001827	-28.34617	TRUE
ENSG00000008197	TFAP2D	0.223281	0.99344	0.77349	0.585982266	-509.04894	FALSE
ENSG00000008277	ADAM22	0.340635	0.54866	0.58521	0.281392759	-868.56657	TRUE
ENSG00000008300	CELSR3	0.317472	0.99984	4.3336	1.422101326	-3038.6677	TRUE
ENSG00000008323	PLEKHG6	0.058297	1.3218e-15	0.36976	-0.14300485	-740.31473	FALSE
ENSG00000008441	NFIX	0.679352	0.99934	4.352	0.76499676	-1.20885	TRUE
ENSG00000008513	ST3GAL1	0.19466	0.29274	0.094067	-0.396059027	-215.8106	FALSE
ENSG00000008710	PKD1	0.097431	0.97287	-3.7199	-4.110631875	-3055.5228	TRUE
ENSG00000008838	MED24	0.277208	0.41388	0.89782	1.14460791	-85.15958	TRUE
ENSG00000008853	RHOBTB2	0.407671	0.083937	2.5302	0.994006516	-94.82717	FALSE
ENSG00000008869	HEATR5B	0.348984	0.032544	-0.3161	2.855939548	-1161.22267	FALSE
ENSG00000008988	RPS20	0.343805	0.049467	0.29546	-0.04180098	-29.08929	TRUE
ENSG00000009335	UBE3C	0.389313	0.46714	0.50432	1.590957233	-43.92549	FALSE
ENSG00000009413	REV3L	0.261281	1	2.7874	2.252925116	-1709.50934	TRUE
ENSG00000009709	PAX7	0.224699	0.015251	0.82794	0.312160652	-76.81981	TRUE
ENSG00000009724	MASP2	0.037991	1.0513e-05	0.16672	-1.116021647	-1037.81374	FALSE
ENSG00000009830	POMT2	0.152394	0.40117	-0.29784	0.318255914	-230.84082	FALSE
ENSG00000009954	BAZ1B	0.456557	1	3.8415	1.947845739	-88.97635	TRUE
ENSG00000010017	RANBP9	0.243093	0.99998	1.4936	0.821543289	-118.2155	TRUE
ENSG00000010327	STAB1	0.162911	0.00027568	0.030321	0.550074959	-3007.38266	FALSE
ENSG00000010361	FUZ	0.104359	4.6099e-05	0.82971	-0.351699689	-625.91831	TRUE
ENSG00000010379	SLC6A13	0.070197	0.0016924	-0.08029	0.154246044	-398.80138	FALSE
ENSG00000010438	PRSS3	0.067828	9.2571e-06	-0.091609	-0.628652337	-1149.53078	FALSE
ENSG00000010610	CD4	0.164442	0.0071803	0.30889	-0.601465648	-186.18673	FALSE
ENSG00000010704	HFE	0.151016	6.9178e-07	0.76012	-0.656453753	-796.87118	FALSE
ENSG00000010803	SCMH1	0.357968	0.011055	2.2568	0.035997922	-85.71222	FALSE
ENSG00000010810	FYN	0.663555	0.96503	4.1784	0.96447732	-33.47213	FALSE
ENSG00000010818	HIVEP2	0.294691	1	2.096	2.275766047	-466.73466	FALSE
ENSG00000011114	BTBD7	0.184445	0.96432	0.51019	1.115419763	-455.53339	FALSE
ENSG00000011132	APBA3	0.107412	1.65e-12	-0.089607	-0.757984566	-565.42478	FALSE
ENSG00000011143	MKS1	0.153246	1.6321e-05	0.82722	-0.364345136	-116.58991	TRUE
ENSG00000011198	ABHD5	0.260344	4.7212e-07	0.64018	-0.173315151	-83.57795	TRUE
ENSG00000011258	MBTD1	0.549244	1	3.5327	0.133616959	-10.32812	TRUE
ENSG00000011275	RNF216	0.191979	1.4249e-05	-0.59483	1.247902117	-131.90997	FALSE
ENSG00000011451	WIZ	0.371147	0.99889	2.6484	0.537253923	-321.62309	FALSE
ENSG00000011465	DCN	0.285892	0.23191	0.99801	0.539276683	-179.81271	FALSE
ENSG00000011485	PPP5C	0.474433	0.99527	2.8505	0.676269289	-22.72261	FALSE
ENSG00000011566	MAP4K3	0.359356	0.85829	0.45946	0.747977937	-80.58132	FALSE
ENSG00000012048	BRCA1	0.114114	0.0043758	0.99484	0.546858258	-3823.01219	TRUE
ENSG00000012061	ERCC1	0.208587	0.01118	0.83287	-0.008523594	-21.98733	TRUE
ENSG00000012232	EXTL3	0.397323	0.00057028	1.8938	2.05018635	-66.33025	TRUE
ENSG00000012660	ELOVL5	0.327257	0.99139	0.93847	0.314967915	-25.28024	FALSE
ENSG00000013275	PSMC4	0.65679	0.20724	3.6807	0.90574226	-5.5116	TRUE
ENSG00000013288	MAN2B2	0.034219	3.6872e-18	-0.073543	-2.875851314	-4293.60359	FALSE
ENSG00000013306	SLC25A39	0.094863	0.00034753	0.087404	0.35199028	-27.97109	FALSE
ENSG00000013503	POLR3B	0.466072	0.00093786	3.488	1.672979324	-318.88375	FALSE
ENSG00000013573	DDX11	0.074436	1.0102e-19	0.76665	-1.25536955	-2109.31265	TRUE
ENSG00000013810	TACC3	0.051294	0.014077	-0.73988	0.413239142	-2050.27567	TRUE
ENSG00000014123	UFL1	0.065961	3.064e-12	0.31973	0.269365902	-216.74364	FALSE
ENSG00000014641	MDH1	0.25165	0.6818	0.9163	0.418843198	-36.87035	TRUE
ENSG00000014919	COX15	0.106879	1.4383e-13	0.39565	-0.184559793	-123.8909	TRUE
ENSG00000015413	DPEP1	0.122902	0.0026842	-0.99298	-0.173152972	-499.50349	FALSE
ENSG00000016082	ISL1	0.539842	0.57528	1.9779	0.320279126	-286.91147	TRUE
ENSG00000016391	CHDH	0.085019	0.00026778	0.84194	0.83810158	-2539.65628	FALSE
ENSG00000017260	ATP2C1	0.380215	0.99996	0.85587	1.145220801	-603.64769	TRUE
ENSG00000017427	IGF1	0.412983	0.01246	1.5617	-0.126772406	-98.37812	TRUE
ENSG00000017621	MAGIX	0.033655	0.001546	0.57307	-0.851352634	-194.95324	FALSE
ENSG00000017797	RALBP1	0.339373	0.089991	0.92368	0.739533896	-78.91347	FALSE
ENSG00000018236	CNTN1	0.338712	0.32173	0.97696	0.80296899	-163.39635	TRUE
ENSG00000018408	WWTR1	0.211702	0.70741	0.64431	-0.446514972	-1687.61303	TRUE
ENSG00000018510	AGPS	0.534587	0.93565	3.4607	0.819200948	-14.28274	TRUE
ENSG00000018625	ATP1A2	0.578766	0.00092572	4.953	1.923592384	-48.50463	TRUE
ENSG00000018869	ZNF582	0.040617	0.001477	0.6299	0.718445538	-145.93455	FALSE
ENSG00000019186	CYP24A1	0.037759	1.7301e-21	-0.6845	-0.785005447	-403.59318	TRUE
ENSG00000019485	PRDM11	0.171377	0.181	1.2263	0.322623801	-338.03141	FALSE
ENSG00000019505	SYT13	0.093107	0.91689	0.087599	0.483668917	-43.04749	FALSE
ENSG00000019549	SNAI2	0.456826	0.81009	1.2756	0.22390157	-15.08527	TRUE
ENSG00000019991	HGF	0.25908	0.99766	0.97115	1.037586591	-196.39487	FALSE
ENSG00000020129	NCDN	0.533457	0.8676	3.8621	1.82482817	-17.19104	TRUE
ENSG00000020256	ZFP64	0.264471	0.79665	0.94339	0.125043503	-242.73747	FALSE
ENSG00000020426	MNAT1	0.156791	6.2342e-07	0.77183	-0.129738115	-41.98331	TRUE
ENSG00000020577	SAMD4A	0.36574	0.98987	0.99909	0.452899797	-387.26704	FALSE
ENSG00000020633	RUNX3	0.445323	0.88861	2.9356	0.386509188	-16.08365	TRUE
ENSG00000021355	SERPINB1	0.20845	0.00097959	0.84456	0.59800996	-207.99059	FALSE
ENSG00000021645	NRXN3	0.413409	0.99733	0.82622	2.537306383	-47.34272	TRUE
ENSG00000021776	AQR	0.433835	0.70013	0.61318	1.634727362	-267.74625	FALSE
ENSG00000022355	GABRA1	0.678718	0.75441	3.347	0.555053577	-14.94107	TRUE
ENSG00000023191	RNH1	0.124992	2.6279e-09	0.53946	0.110505868	-903.41886	FALSE
ENSG00000023228	NDUFS1	0.116415	8.3883e-10	0.0069608	1.365813048	-91.54067	FALSE
ENSG00000023287	RB1CC1	0.289888	1	0.9636	2.112926299	-234.10831	TRUE
ENSG00000023330	ALAS1	0.195592	0.74945	0.96777	0.337779136	-153.9661	TRUE
ENSG00000023445	BIRC3	0.260315	0.060335	0.65669	0.327154077	-76.6367	FALSE
ENSG00000023734	STRAP	0.312262	0.79127	2.1991	0.153922977	-32.02303	TRUE
ENSG00000023909	GCLM	0.295306	0.99037	1.4737	0.227650294	-8.69887	FALSE
ENSG00000024048	UBR2	0.235649	0.98462	3.5484	1.728990365	-3342.51324	TRUE
ENSG00000025156	HSF2	0.362364	0.93579	2.1515	0.754529398	-24.89099	TRUE
ENSG00000025770	NCAPH2	0.155237	0.035542	0.28543	-0.058033565	-2077.26388	FALSE
ENSG00000026751	SLAMF7	0.200681	0.020749	0.97667	-0.48712641	-16.77883	FALSE
ENSG00000027075	PRKCH	0.306299	0.68079	0.87972	1.100074215	-401.95149	TRUE
ENSG00000028116	VRK2	0.042579	1.0163e-11	-0.9266	-0.5382001	-3255.28139	FALSE
ENSG00000028203	VEZT	0.108614	0.36048	0.93738	-0.958087057	-1270.82062	TRUE
ENSG00000028277	POU2F2	0.318346	0.73685	0.40908	0.316530441	-113.2753	TRUE
ENSG00000029363	BCLAF1	0.03814	0.66003	0.44435	-4.045082805	-3652.78199	TRUE
ENSG00000029534	ANK1	0.308655	0.0015071	0.52024	2.373563361	-1000.57458	TRUE
ENSG00000029639	TFB1M	0.146198	9.9713e-10	0.22272	-0.454010901	-129.0857	TRUE
ENSG00000030110	BAK1	0.157806	6.7592e-07	0.78424	-0.238144858	-54.85267	FALSE
ENSG00000030304	MUSK	0.206742	1.0063e-06	0.45009	-0.472591555	-1294.3217	TRUE
ENSG00000030419	IKZF2	0.282443	0.98885	0.87115	0.277481774	-105.57661	TRUE
ENSG00000031698	SARS	0.509825	0.99946	2.7559	0.337618009	-60.23566	FALSE
ENSG00000031823	RANBP3	0.295022	0.88721	0.81095	1.211458506	-207.36577	FALSE
ENSG00000032444	PNPLA6	0.41796	0.0047005	0.6455	2.452309641	-1325.61906	TRUE
ENSG00000032742	IFT88	0.086576	1.646e-11	0.55299	-0.138474617	-1694.62273	TRUE
ENSG00000033011	ALG1	0.149525	0.0006351	-0.88869	-1.878592887	-992.70946	FALSE
ENSG00000033122	LRRC7	0.334214	0.99862	3.9027	2.477957182	-157.64981	FALSE
ENSG00000033170	FUT8	0.431391	0.46433	0.70944	0.528811667	-1542.85964	TRUE
ENSG00000033178	UBA6	0.195649	0.0015621	0.63259	1.103994171	-1758.06312	TRUE
ENSG00000033627	ATP6V0A1	0.497505	0.69323	3.8087	0.847944353	-53.36179	FALSE
ENSG00000033800	PIAS1	0.465586	0.99999	2.8983	1.263321934	-13.97584	TRUE
ENSG00000035403	VCL	0.426751	0.75419	3.2682	0.951213556	-332.65362	TRUE
ENSG00000035499	DEPDC1B	0.170521	8.8073e-09	0.95572	1.139907812	-45.94992	FALSE
ENSG00000035664	DAPK2	0.10325	0.00091307	0.45795	-0.357630716	-4082.56767	FALSE
ENSG00000035687	ADSS	0.367668	0.36264	2.3413	0.480543862	-99.3475	FALSE
ENSG00000036257	CUL3	0.601751	0.55204	4.9174	0.97728657	-1361.02638	TRUE
ENSG00000036448	MYOM2	0.023225	3.8465e-50	-5.4317	-4.626349689	-8300.21663	FALSE
ENSG00000036473	OTC	0.390793	0.88873	1.3821	0.122152862	-1072.1412	TRUE
ENSG00000036828	CASR	0.390535	0.060105	3.3382	1.640642576	-2617.72548	TRUE
ENSG00000037042	TUBG2	0.389923	9.6514e-06	2.3674	0.728911516	-4575.90405	FALSE
ENSG00000037280	FLT4	0.419897	0.87521	3.1222	0.618226829	-835.41804	TRUE
ENSG00000037749	MFAP3	0.193392	0.34431	0.83913	-0.264381143	-40.83868	FALSE
ENSG00000037965	HOXC8	0.299088	0.48528	0.44736	0.014748375	-45.93106	TRUE
ENSG00000038274	MAT2B	0.312221	0.31166	0.79973	0.171262023	-31.67303	FALSE
ENSG00000038295	TLL1	0.261016	0.052334	0.90451	0.692375776	-309.19572	TRUE
ENSG00000038382	TRIO	0.417406	1	5.9219	4.532800748	-492.54729	TRUE
ENSG00000038427	VCAN	0.141273	0.98948	0.59029	-0.326990238	-4783.10517	TRUE
ENSG00000038532	CLEC16A	0.331149	0.022909	0.092843	-0.190174998	-250.55243	FALSE
ENSG00000038945	MSR1	0.085611	6.0479e-06	-0.86216	-0.766884105	-2782.0455	FALSE
ENSG00000039068	CDH1	0.264476	0.058504	0.99338	0.675033219	-122.67172	FALSE
ENSG00000039139	DNAH5	0.115086	1.3511e-61	-0.36925	-1.624301631	-17941.81819	TRUE
ENSG00000039600	SOX30	0.118288	0.74583	0.99916	-0.731582433	-1024.43935	FALSE
ENSG00000040487	PQLC2	0.196204	0.0009666	0.94873	0.292475751	-497.56252	FALSE
ENSG00000040731	CDH10	0.41893	0.32747	2.4312	1.553909196	-34.27199	FALSE
ENSG00000040933	INPP4A	0.398738	0.99995	3.5646	1.254424612	-195.99604	TRUE
ENSG00000041515	MYO16	0.158885	0.77309	0.99524	0.831340885	-6065.52777	FALSE
ENSG00000041802	LSG1	0.082694	0.00015968	0.62835	-0.923407078	-477.81473	FALSE
ENSG00000042304	C2orf83	0.051641	0.00077198	0.72092	-0.66786896	-3701.49462	FALSE
ENSG00000042429	MED17	0.221747	0.026475	0.86069	1.094761048	-91.46386	FALSE
ENSG00000042493	CAPG	0.068988	0.0010294	0.39319	-0.181593858	-222.11671	FALSE
ENSG00000042781	USH2A	0.079479	2.9694e-94	-0.70856	-4.476287708	-6401.91635	FALSE
ENSG00000042832	TG	0.082711	1.6014e-32	-0.74108	-3.093546686	-6797.58378	FALSE
ENSG00000042980	ADAM28	0.019499	1.258e-09	-0.88961	-1.110712667	-623.46636	TRUE
ENSG00000043355	ZIC2	0.504053	0.97738	3.545	0.541464464	-382.0785	TRUE
ENSG00000043462	LCP2	0.285498	0.29565	0.9102	-0.03632581	-48.09107	TRUE
ENSG00000043514	TRIT1	0.110024	0.00011929	-0.099433	-0.292183066	-1128.84131	FALSE
ENSG00000043591	ADRB1	0.24427	3.4881e-06	1.7866	0.250300612	-95.03749	TRUE
ENSG00000044090	CUL7	0.203957	1.22e-21	0.6106	0.112734944	-739.111	TRUE
ENSG00000044115	CTNNA1	0.471856	0.99086	0.92976	1.60890878	-60.25736	TRUE
ENSG00000044524	EPHA3	0.220669	5.1469e-05	0.8352	1.162738864	-4421.59874	TRUE
ENSG00000044574	HSPA5	0.578246	0.77858	4.1451	0.733441369	-36.2231	TRUE
ENSG00000046604	DSG2	0.08992	6.7815e-07	0.45883	-1.259609974	-2306.73684	TRUE
ENSG00000046647	GEMIN8	0.193353	0.94957	0.62962	-0.072444621	-199.52361	FALSE
ENSG00000046653	GPM6B	0.384776	0.67155	0.89498	0.578344557	-12.17701	FALSE
ENSG00000047056	WDR37	0.40041	0.38276	2.385	1.349870213	-39.62638	FALSE
ENSG00000047346	FAM214A	0.255129	0.030641	0.95234	-0.050375433	-912.11977	FALSE
ENSG00000047365	ARAP2	0.05245	0.018184	-0.7457	-0.045364597	-579.69503	FALSE
ENSG00000047410	TPR	0.311528	0.45663	0.56802	2.379892093	-2020.35538	FALSE
ENSG00000047457	CP	0.125788	3.8578e-06	0.73035	-1.133216475	-528.1974	FALSE
ENSG00000047621	C12orf4	0.234034	6.8458e-06	0.23149	0.902773081	-37.65895	FALSE
ENSG00000047648	ARHGAP6	0.2467	0.98112	1.9981	0.651440997	-85.98487	FALSE
ENSG00000047932	GOPC	0.328615	0.0082878	1.9391	0.275918315	-74.93482	FALSE
ENSG00000048052	HDAC9	0.348243	0.99986	0.93193	0.875914444	-78.75617	FALSE
ENSG00000048140	TSPAN17	0.092393	2.4995e-07	0.95069	0.242803471	-62.13277	FALSE
ENSG00000048471	SNX29	0.180783	4.5151e-09	-0.89728	0.469798514	-208.69672	FALSE
ENSG00000048544	MRPS10	0.050372	1.1658e-08	-0.29824	-0.452612736	-31.89637	FALSE
ENSG00000048707	VPS13D	0.190459	0.0057827	-0.096007	5.145922348	-2635.30524	TRUE
ENSG00000048740	CELF2	0.733033	0.99973	4.5576	0.865126424	-10.93402	FALSE
ENSG00000049130	KITLG	0.220407	0.40377	0.91581	0.2946616	-47.03064	TRUE
ENSG00000049167	ERCC8	0.091102	4.3891e-11	-0.41368	-0.040856192	-1298.26823	FALSE
ENSG00000049323	LTBP1	0.132668	0.081882	0.9082	0.246608244	-877.89035	TRUE
ENSG00000049540	ELN	0.142519	1.4459e-14	0.097793	-0.294207236	-888.18423	TRUE
ENSG00000049618	ARID1B	0.319055	1	3.0646	2.205109578	-623.55868	FALSE
ENSG00000049768	FOXP3	0.354396	0.99369	1.8457	-0.246389087	-42.16868	TRUE
ENSG00000050405	LIMA1	0.160045	3.4957e-05	0.95058	-0.008361602	-36.54684	FALSE
ENSG00000050426	LETMD1	0.112192	0.68471	0.82367	0.127683555	-65.56731	FALSE
ENSG00000050628	PTGER3	0.247846	0.0044317	1.6762	-0.07397088	-53.0037	FALSE
ENSG00000050820	BCAR1	0.177883	0.17856	0.79347	-0.434013509	-778.41129	TRUE
ENSG00000051009	FAM160A2	0.327004	0.96338	1.2267	-0.035220601	-1681.56018	FALSE
ENSG00000051180	RAD51	0.575757	0.10223	0.72501	0.158453138	-27.3455	TRUE
ENSG00000051341	POLQ	0.094789	2.249e-80	0.96245	-0.414580894	-4712.21542	FALSE
ENSG00000051382	PIK3CB	0.336019	0.21074	0.8613	1.749683941	-42.08334	TRUE
ENSG00000052841	TTC17	0.202147	0.057699	0.78955	1.420214187	-1011.16107	FALSE
ENSG00000052850	ALX4	0.182116	0.29761	0.97209	0.053175466	-6688.59361	TRUE
ENSG00000053254	FOXN3	0.322924	0.05662	0.77197	0.364017479	-47.54211	FALSE
ENSG00000053501	USE1	0.068603	0.00022037	0.7854	0.236710367	-88.00091	TRUE
ENSG00000053702	NRIP2	0.032596	8.4465e-10	-0.71443	-0.416364742	-57.47479	FALSE
ENSG00000053747	LAMA3	0.113818	0.36852	0.96673	-0.953408032	-2266.53598	FALSE
ENSG00000053770	AP5M1	0.09362	0.48823	0.08552	-0.138635966	-978.94501	FALSE
ENSG00000053918	KCNQ1	0.315461	0.0067214	1.9605	0.988692396	-131.10283	FALSE
ENSG00000054179	ENTPD2	0.03287	4.853e-14	-0.51912	-0.434323687	-423.42211	FALSE
ENSG00000054219	LY75	0.028485	1.3575e-45	0.33316	0.234580912	-5986.81997	FALSE
ENSG00000054267	ARID4B	0.278533	0.91031	2.4568	1.620333996	-428.736	TRUE
ENSG00000054392	HHAT	0.052179	1.532e-07	0.057067	-0.44260248	-2686.0728	TRUE
ENSG00000054523	KIF1B	0.422192	0.75907	3.8386	2.703038252	-705.73842	TRUE
ENSG00000054611	TBC1D22A	0.33358	0.68045	0.77903	0.249679249	-93.04139	FALSE
ENSG00000054654	SYNE2	0.156688	0.16486	-0.91736	-2.216303403	-10907.00643	FALSE
ENSG00000054690	PLEKHH1	0.119826	0.00014198	2.2041	-1.645682132	-7095.83143	FALSE
ENSG00000054938	CHRDL2	0.085847	0.069793	0.78907	0.203755451	-186.00922	FALSE
ENSG00000054983	GALC	0.135065	4.6177e-14	0.78909	-0.194240611	-6435.96683	TRUE
ENSG00000055118	KCNH2	0.4639	0.81472	3.843	0.534289298	-1151.75419	TRUE
ENSG00000055130	CUL1	0.778148	1	5.813	0.997594644	-6.05181	TRUE
ENSG00000055208	TAB2	0.329515	0.41729	0.51451	1.124130555	-16.16045	TRUE
ENSG00000055609	KMT2C	0.286996	0.74527	0.86893	0.714419772	-8094.45636	TRUE
ENSG00000055732	MCOLN3	0.095278	8.9874e-11	0.6931	0.03068551	-55.13455	TRUE
ENSG00000055957	ITIH1	0.039815	6.0879e-22	0.46959	-0.790012345	-3773.54939	FALSE
ENSG00000056097	ZFR	0.56264	1	4.1971	1.373309171	-2316.48591	TRUE
ENSG00000056487	PHF21B	0.207538	0.98966	0.81569	-0.311706473	-708.32146	FALSE
ENSG00000056661	PCGF2	0.350949	0.015626	0.99057	0.339804228	-27.13463	TRUE
ENSG00000057294	PKP2	0.061937	4.0702e-15	-0.0024422	-0.597402241	-1040.61604	TRUE
ENSG00000057593	F7	0.109764	1.4708e-06	0.58815	-0.443384549	-194.25954	TRUE
ENSG00000057657	PRDM1	0.321281	0.13318	0.67082	-0.076775354	-1937.8398	TRUE
ENSG00000057663	ATG5	0.422104	0.9726	1.8848	0.107999068	-64.05281	TRUE
ENSG00000057935	MTA3	0.302198	0.38176	-0.81567	0.52803017	-51.94859	FALSE
ENSG00000058085	LAMC2	0.091005	4.7449e-12	0.46655	-1.339311097	-1938.54056	TRUE
ENSG00000058272	PPP1R12A	0.341873	0.87413	0.99606	0.519130584	-112.98192	TRUE
ENSG00000058335	RASGRF1	0.512526	1	4.2817	2.368679303	-88.98612	FALSE
ENSG00000058453	CROCC	0.010876	9.1034e-15	0.73104	-5.124836985	-3783.54242	FALSE
ENSG00000058729	RIOK2	0.088598	0.23932	0.84254	-0.752671185	-3638.14552	FALSE
ENSG00000059377	TBXAS1	0.029089	0.00015493	-0.8216	-1.100242745	-946.51884	FALSE
ENSG00000059378	PARP12	0.16908	0.0031479	0.94768	0.177517505	-1281.17409	FALSE
ENSG00000059804	SLC2A3	0.293849	0.15086	0.29374	-0.825001109	-55.14143	TRUE
ENSG00000060237	WNK1	0.341285	4.6809e-05	-0.098647	0.437238315	-5107.88496	TRUE
ENSG00000060656	PTPRU	0.250344	0.88107	2.5792	2.037831654	-2370.71205	FALSE
ENSG00000060709	RIMBP2	0.256754	0.64159	0.37855	-0.115664549	-308.7902	FALSE
ENSG00000060718	COL11A1	0.313946	1	-0.45748	1.334888903	-7076.86232	TRUE
ENSG00000061273	HDAC7	0.319623	0.99981	0.97255	0.788590318	-940.4494	TRUE
